I1,I2,I3,C1,C2,C3,M1,M2,M3,D,ID,respiration,aboveground,ace,phos,cello,gluco,belowground,WSA,PH,rack,Lv,remark
0,0,1,0,0,1,1,0,0,0,3,1026.038,116.8,0.456805775,1.831782042,0.313655063,0.64747191,45.2,93.24758842,4.2,H,3,3
0,0,1,0,1,0,0,1,0,0,3,1168.004485,98.6,0.40118671,1.640306567,0.15773932,0.695569823,39.2,94.6875,4.36,H,3,3
0,1,0,1,0,0,1,0,0,0,3,1508.897628,172.6,0.350126582,2.462739319,0.275359968,1.004506421,69.7,59.13312693,4.6,W,3,3
0,1,0,0,1,0,0,1,0,0,3,884.4373192,410.6,0.378392009,2.291323181,0.247094541,1.115501605,113.9,57.60517799,4.67,G,3,3
1,0,0,0,0,1,0,0,1,0,3,1368.481683,94.5,0.568955696,3.097343749,0.386598101,2.103358748,30.8,61.53846154,5.04,H,3,3
0,0,1,1,0,0,1,0,0,0,3,893.9707913,115.1,0.391157041,1.736956092,0.147709652,1.061853933,35.5,79.67741935,4.33,H,3,3
1,0,0,1,0,0,0,1,0,0,3,791.845961,2.4,0.448599684,2.490092958,0.539778481,1.65752809,0.9,53.60501567,5.07,N,3,3
1,0,0,0,1,0,0,0,1,0,3,1506.179589,320.9,0.249829904,2.437209256,0.282654272,1.061853933,98,61.19873817,5.32,W,3,3
0,1,0,0,0,1,0,1,0,0,3,1434.624182,52.7,0.630957279,2.902221123,0.582632516,1.183948636,19.7,57.00325733,4.59,G,3,3
0,0,1,0,1,0,0,0,1,0,3,1048.242448,331.4,0.696606014,2.236615903,0.367450554,1.085902889,141.9,85.25641026,4.41,H,3,3
0,0,1,0,1,0,1,0,0,0,3,1430.679646,116.2,0.40118671,1.932078717,0.392980617,1.267195024,32.4,78.6163522,4.47,H,3,3
0,0,1,0,0,1,0,1,0,0,3,1042.375864,29.3,0.590838608,2.39070807,0.527925237,1.211697432,48.6,87.5,4.35,N,3,3
0,0,1,1,0,0,0,0,1,0,3,734.5618369,112.3,0.391157041,1.62024723,0.49054193,1.191348315,4.2,85.06493506,4.28,Y,3,3
